id,level,profile,stack,experience,salary,location,comments
54b929a194a3022e99af94db858f5b51,junior,Data Analyst,"python, powerBI, SQL, spark, git, azure, aws ",1.0,24.0,Madrid,Tengo su CV
00ab081c07cb3d704996d77b853bb823,senior,Testing,"cucumber, selenium, jenkins, java, scrum, guerkin",5.0,42.0,Madrid,
bd5e0b6fa1ee63405290ff9ba2bcbd31,junior,Testing,"cucumber, selenium, jenkins, java, scrum, guerkin",1.0,20.0,Madrid,
9295ea18efad3fcefe3ea07931092117,senior,Testing,"cucumber, selenium, jenkins, java, scrum, guerkin",3.0,35.0,Madrid,
2eb8e757a0c9a0f8446ca669beeb9ec0,expert,Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",8.0,35.0,Madrid,Le viene mal Chamartín
d2d663ab2c71cf820a63de7903a6042f,senior,Programmer,"java, spring, hibernate, maven, eclipse, SQL, oracle, HTML5, CSS3, javascript, web services, jenkins",3.0,30.0,Madrid,"Tiene experiencia con microservicios, junior en ese sentido."
e1bd95ca53644772a08befcab95a4044,senior,Programmer,"java, oracle, SQL, web services, spring, maven",3.0,25.0,Murcia,"Está trabajando actualmente en Madrid, pero su intención es volverse a Murcia"
5b61b2a59236a896b6f638d75f543c8c,junior,Programmer,"angular, javascript, jquery, HTML5, CSS3, boostrap, SQL",1.0,18.0,Madrid,
33f56f83c44d6d96ecdcd29803a226ac,senior,Programmer,"angular, HTML5, CSS3, javascript, typescript",5.0,24.0,Madrid,
8ae7b0b8f6e908489987ebfe8e25a838,senior,Programmer,"angular, javascript, jquery, HTML5, CSS3, boostrap, SQL, java",4.0,28.0,Barcelona,
6814d8feb21ebf1f6e71884414064c4e,junior,Programmer,"angular, javascript, jquery, HTML5, CSS3, boostrap, SQL",1.0,20.0,Madrid,
234b4dc7b80b418125a0f1ed7f46b04b,junior,Programmer,"angular, javascript, HTML5, CSS3, typescript, github, SQL",2.0,35.0,Zaragoza,
74d700420260e40749f8e98531e246f8,expert,Programmer,".NET, ASP.NET, MVC, SQL, C#, Visual Basic, TFS, Scrum, Oracle",13.0,40.0,Barcelona,
30d4e095339a9794316a01228c4322e3,senior,Analyst/Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",4.0,45.0,Madrid ,
86d24f09a948f60859257c6978753485,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",3.0,30.0,Madrid ,
9967b6f42eee96d37450f14460ff0389,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,47.0,Madrid ,
cab7fcfaab5c19827481dd8a73d29c4a,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
969ab0491a4ebdf03a47ab6ad668bfc7,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
178e1aecc23762816be183a51d284745,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",3.5,43.0,Madrid ,
476a63a60e8965942b6769c736962293,senior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",3.0,36.0,Madrid ,
d730f6be047e432d820915e0b911523a,junior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",2.0,30.0,Madrid ,
